params,MostNaive,DeepDataDepthAnomalyDetector
"('CIFAR10_0', 0.0, 1)",0.9376385542168675,0.9398955823293171
"('CIFAR10_0', 0.01, 1)",,
"('CIFAR10_0', 0.05, 1)",,
"('CIFAR10_0', 0.1, 1)",,
"('CIFAR10_0', 0.25, 1)",,
"('CIFAR10_0', 0.5, 1)",,
"('CIFAR10_0', 0.75, 1)",,
"('CIFAR10_0', 1.0, 1)",,
"('CIFAR10_1', 0.0, 1)",0.9871967871485944,0.9874297188755019
"('CIFAR10_1', 0.01, 1)",,
"('CIFAR10_1', 0.05, 1)",,
"('CIFAR10_1', 0.1, 1)",,
"('CIFAR10_1', 0.25, 1)",,
"('CIFAR10_1', 0.5, 1)",,
"('CIFAR10_1', 0.75, 1)",,
"('CIFAR10_1', 1.0, 1)",,
"('CIFAR10_2', 0.0, 1)",0.6779036144578313,0.7315903614457832
"('CIFAR10_2', 0.01, 1)",,
"('CIFAR10_2', 0.05, 1)",,
"('CIFAR10_2', 0.1, 1)",,
"('CIFAR10_2', 0.25, 1)",,
"('CIFAR10_2', 0.5, 1)",,
"('CIFAR10_2', 0.75, 1)",,
"('CIFAR10_2', 1.0, 1)",,
"('CIFAR10_3', 0.0, 1)",0.8628755020080321,0.8613975903614458
"('CIFAR10_3', 0.01, 1)",,
"('CIFAR10_3', 0.05, 1)",,
"('CIFAR10_3', 0.1, 1)",,
"('CIFAR10_3', 0.25, 1)",,
"('CIFAR10_3', 0.5, 1)",,
"('CIFAR10_3', 0.75, 1)",,
"('CIFAR10_3', 1.0, 1)",,
"('CIFAR10_4', 0.0, 1)",0.9181285140562249,0.9191726907630522
"('CIFAR10_4', 0.01, 1)",,
"('CIFAR10_4', 0.05, 1)",,
"('CIFAR10_4', 0.1, 1)",,
"('CIFAR10_4', 0.25, 1)",,
"('CIFAR10_4', 0.5, 1)",,
"('CIFAR10_4', 0.75, 1)",,
"('CIFAR10_4', 1.0, 1)",,
"('CIFAR10_5', 0.0, 1)",0.45589558232931726,0.5012610441767068
"('CIFAR10_5', 0.01, 1)",,
"('CIFAR10_5', 0.05, 1)",,
"('CIFAR10_5', 0.1, 1)",,
"('CIFAR10_5', 0.25, 1)",,
"('CIFAR10_5', 0.5, 1)",,
"('CIFAR10_5', 0.75, 1)",,
"('CIFAR10_5', 1.0, 1)",,
"('CIFAR10_6', 0.0, 1)",0.9215502008032128,0.9106184738955823
"('CIFAR10_6', 0.01, 1)",,
"('CIFAR10_6', 0.05, 1)",,
"('CIFAR10_6', 0.1, 1)",,
"('CIFAR10_6', 0.25, 1)",,
"('CIFAR10_6', 0.5, 1)",,
"('CIFAR10_6', 0.75, 1)",,
"('CIFAR10_6', 1.0, 1)",,
"('CIFAR10_7', 0.0, 1)",0.9826024096385542,0.983277108433735
"('CIFAR10_7', 0.01, 1)",,
"('CIFAR10_7', 0.05, 1)",,
"('CIFAR10_7', 0.1, 1)",,
"('CIFAR10_7', 0.25, 1)",,
"('CIFAR10_7', 0.5, 1)",,
"('CIFAR10_7', 0.75, 1)",,
"('CIFAR10_7', 1.0, 1)",,
"('CIFAR10_8', 0.0, 1)",0.9079598393574297,0.9240642570281123
"('CIFAR10_8', 0.01, 1)",,
"('CIFAR10_8', 0.05, 1)",,
"('CIFAR10_8', 0.1, 1)",,
"('CIFAR10_8', 0.25, 1)",,
"('CIFAR10_8', 0.5, 1)",,
"('CIFAR10_8', 0.75, 1)",,
"('CIFAR10_8', 1.0, 1)",,
"('CIFAR10_9', 0.0, 1)",0.9188353413654619,0.9307630522088354
"('CIFAR10_9', 0.01, 1)",,
"('CIFAR10_9', 0.05, 1)",,
"('CIFAR10_9', 0.1, 1)",,
"('CIFAR10_9', 0.25, 1)",,
"('CIFAR10_9', 0.5, 1)",,
"('CIFAR10_9', 0.75, 1)",,
"('CIFAR10_9', 1.0, 1)",,
